,expected_timing_alpha_60d,regime_baseline_60d,expected_net_return_60d,raw_probability,probability_positive,forecast_percentile,expert,model_train_end,calibration_method,calibration_samples,calibration_brier,calibration_ece,price_to_ma200,ma50_to_ma200,drawdown_60d,momentum_20d,Breadth_Score_change_5d,Risk_Score_change_5d
2022-05-24,0.0,0.07097895029775915,0.07097895029775915,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.20540752089911496,-0.08505305140371111,-0.22616470419019263,-0.09428004908150023,-0.00027721118602220304,0.0
2022-05-25,0.0,0.06877955664889475,0.06877955664889475,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.19345842048027773,-0.08613301992774147,-0.21533447100330116,-0.0805024701740309,-0.00018480745734810204,0.0
2022-05-26,0.0,0.0668455059448962,0.0668455059448962,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.17035851057213613,-0.08755168025066806,-0.19359373128485213,-0.0874364413437817,-0.00012320497156543468,0.0
2022-05-27,0.0,0.06490788468571976,0.06490788468571976,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.14260083620617559,-0.0887660241734255,-0.1672729372219396,-0.013248230508588477,-8.213664771030792e-05,0.0
2022-05-31,0.0,0.06393881368121868,0.06393881368121868,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.14417250602279041,-0.09039217483709105,-0.16948193136485534,-0.032027174011423076,-5.475776514020528e-05,0.0
2022-06-01,0.0,0.06278837847631308,0.06278837847631308,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.14977471566870348,-0.0920626965410466,-0.17562448821522303,-0.040210850270481324,-3.650517676013686e-05,0.0
2022-06-02,0.0,0.061594970245274744,0.061594970245274744,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.12588312875181396,-0.09379904630144398,-0.15304834861016958,-0.04617705260998517,-2.433678450675791e-05,0.0
2022-06-03,0.0,0.0603837792621077,0.0603837792621077,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.14797920255030683,-0.09564874481368679,-0.17508553416086625,-0.021725140090265938,-1.6224523004505277e-05,0.0
2022-06-06,0.0,0.05943915967589755,0.05943915967589755,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.14448151600477765,-0.09787089477275746,-0.17233783919181034,-0.006564557851552855,-1.0816348669670186e-05,0.0
2022-06-07,0.0,0.05869537343978848,0.05869537343978848,0.01,0.4246864974830804,0.0,risk_off,2022-05-02,oos_isotonic,1177.0,0.2388781166987105,0.060827938701549775,-0.1364222343077155,-0.09991817657187341,-0.16519857608085609,0.04280670869282721,-7.210899113113459e-06,0.0
